Comparator,File,Num Strings,Size (#),Build (ms),Iterate (ms),Contains (ms)
StringByLex,lexicographically_ordered.txt,2000,2000,48,1,9
StringByLex,lexicographically_ordered.txt,4000,4000,101,2,4
StringByLex,lexicographically_ordered.txt,8000,8000,403,2,8
StringByLex,lexicographically_ordered.txt,16000,16000,1233,2,15
StringByLex,lexicographically_ordered.txt,20000,19999,1876,0,16
StringByLex,lexicographically_ordered.txt,24000,23996,2797,0,18

StringReverseByLex,lexicographically_ordered.txt,2000,2000,31,0,2
StringReverseByLex,lexicographically_ordered.txt,4000,4000,19,0,66
StringReverseByLex,lexicographically_ordered.txt,8000,8000,40,0,1
StringReverseByLex,lexicographically_ordered.txt,16000,16000,86,1,2
StringReverseByLex,lexicographically_ordered.txt,20000,19999,118,1,1
StringReverseByLex,lexicographically_ordered.txt,24000,23996,130,1,1

StringWithOutPrefixByLex,lexicographically_ordered.txt,2000,1872,22,0,1
StringWithOutPrefixByLex,lexicographically_ordered.txt,4000,3593,15,0,1
StringWithOutPrefixByLex,lexicographically_ordered.txt,8000,6878,25,0,1
StringWithOutPrefixByLex,lexicographically_ordered.txt,16000,12460,66,0,1
StringWithOutPrefixByLex,lexicographically_ordered.txt,20000,15255,76,1,1
StringWithOutPrefixByLex,lexicographically_ordered.txt,24000,18640,98,1,1

StringByLex,reverse_ordered.txt,2000,1997,2,0,0
StringByLex,reverse_ordered.txt,4000,3996,3,0,0
StringByLex,reverse_ordered.txt,8000,7996,5,0,0
StringByLex,reverse_ordered.txt,16000,15996,13,0,0
StringByLex,reverse_ordered.txt,20000,19994,17,0,1
StringByLex,reverse_ordered.txt,24000,23993,20,0,1

StringReverseByLex,reverse_ordered.txt,2000,1997,567,0,4
StringReverseByLex,reverse_ordered.txt,4000,3996,1082,0,32
StringReverseByLex,reverse_ordered.txt,8000,7996,5039,1,78
StringReverseByLex,reverse_ordered.txt,16000,15996,25173,0,130
StringReverseByLex,reverse_ordered.txt,20000,19994,33318,0,136
StringReverseByLex,reverse_ordered.txt,24000,23993,35109,0,154

StringWithOutPrefixByLex,reverse_ordered.txt,2000,1496,2,0,1
StringWithOutPrefixByLex,reverse_ordered.txt,4000,3002,5,0,1
StringWithOutPrefixByLex,reverse_ordered.txt,8000,5973,12,0,1
StringWithOutPrefixByLex,reverse_ordered.txt,16000,12061,26,0,0
StringWithOutPrefixByLex,reverse_ordered.txt,20000,15184,34,1,0
StringWithOutPrefixByLex,reverse_ordered.txt,24000,18387,44,1,0

StringByLex,prefix_ordered.txt,2000,2000,2,0,0
StringByLex,prefix_ordered.txt,4000,4000,7,0,1
StringByLex,prefix_ordered.txt,8000,8000,19,0,1
StringByLex,prefix_ordered.txt,16000,15999,45,1,0
StringByLex,prefix_ordered.txt,20000,19999,71,1,0
StringByLex,prefix_ordered.txt,24000,23993,106,1,0

StringReverseByLex,prefix_ordered.txt,2000,2000,8,0,1
StringReverseByLex,prefix_ordered.txt,4000,4000,18,0,1
StringReverseByLex,prefix_ordered.txt,8000,8000,38,1,0
StringReverseByLex,prefix_ordered.txt,16000,15999,87,0,39
StringReverseByLex,prefix_ordered.txt,20000,19999,109,1,1
StringReverseByLex,prefix_ordered.txt,24000,23993,135,0,1

StringWithOutPrefixByLex,prefix_ordered.txt,2000,1469,12,0,1
StringWithOutPrefixByLex,prefix_ordered.txt,4000,3024,37,0,4
StringWithOutPrefixByLex,prefix_ordered.txt,8000,6021,675,1,20
StringWithOutPrefixByLex,prefix_ordered.txt,16000,12090,4374,0,46
StringWithOutPrefixByLex,prefix_ordered.txt,20000,15290,7525,0,51
StringWithOutPrefixByLex,prefix_ordered.txt,24000,18407,11383,0,54

StringByLex,random_order.txt,2000,2000,1,0,0
StringByLex,random_order.txt,4000,3999,2,0,0
StringByLex,random_order.txt,8000,7999,4,0,1
StringByLex,random_order.txt,16000,15997,10,0,0
StringByLex,random_order.txt,20000,19997,13,0,0
StringByLex,random_order.txt,24000,23997,17,0,0

StringReverseByLex,random_order.txt,2000,2000,6,0,0
StringReverseByLex,random_order.txt,4000,3999,14,0,1
StringReverseByLex,random_order.txt,8000,7999,30,0,1
StringReverseByLex,random_order.txt,16000,15997,68,1,1
StringReverseByLex,random_order.txt,20000,19997,87,0,1
StringReverseByLex,random_order.txt,24000,23997,147,1,1

StringWithOutPrefixByLex,random_order.txt,2000,1901,2,0,1
StringWithOutPrefixByLex,random_order.txt,4000,3660,4,0,0
StringWithOutPrefixByLex,random_order.txt,8000,6943,11,0,0
StringWithOutPrefixByLex,random_order.txt,16000,12913,25,0,0
StringWithOutPrefixByLex,random_order.txt,20000,15755,32,1,0
StringWithOutPrefixByLex,random_order.txt,24000,18529,38,1,0


